Country,"Solar Photovoltaic(PV) Generating Capacity (MW) in 2015 IRENA (2016)","Concentrated Solar Power (CSP) (MW) in 2015 IRENA (2016)","Total Solar Generating Capacity (MW) in 2015 IRENA (2016)","Total Solar Electricity Consumption(GWh) in 2015 BP (2016)","Total Solar Electricity Generation in 2014 (GWh) IRENA (2016)","Share of Solar PV in Total Installed Power Generating Capacity in 2015 (%)BP (2016)"
Mali,6,-,6,-,8,-
Malta,60,-,60,-,68,-
Marshall Islands,1,-,1,-,1,-
Martinique,62,-,62,-,84,-
Mauritania,18,-,18,-,,-
Mauritius,18,-,18,-,25,-
Mayotte,13,-,13,-,4,-
Mexico,234,-,234,346,221,0.10%
Micronesia,1,-,1,-,1,-
Moldova Rep,3,-,3,-,1,-
Mongolia,5,-,5,-,1,-
Morocco,18,23,41,-,61,-
Mozambique,7,-,7,-,11,-
Namibia,21,-,21,-,26,-
Nepal,32,-,32,-,48,-
Netherlands,1288,-,1288,866,785,0.60%
New Caledon,8,-,8,-,13,-
New Zealand,33,-,33,-,16,-
Nicaragua,1,-,1,-,1,-
Niger,6,-,6,-,8,-
Nigeria,17,-,17,-,22,-
Norway,14,-,14,-,,-
Pakistan,210,-,210,1172,241,-
Palau,1,-,1,-,1,-
Panama,14,-,14,-,1,-
Peru,96,-,96,230,199,-
Philippines,132,-,132,128,7,-
Poland,71,-,71,57,7,-
Portugal,451,-,451,789,627,2.20%
Puerto Rico,88,-,88,,48,-
Qatar,3,-,3,56,5,-
Reunion,180,-,180,-,236,-
Romania,1301,-,1301,1987,1616,0.60%
Russian Federation,407,-,407,54,7,-
Rwanda,9,-,9,-,13,-
St Kitts and Nevis,1,-,1,-,2,-
St. Lucia,1,-,1,-,-,-
St. Vincent and The Grenadines,1,-,1,-,1,-
Samoa,3,-,3,-,5,-
Saudi Arabia,25,-,25,-,43,-
Senegal,8,-,8,-,,-
Serbia,6,-,6,10,6,0.08%
Singapore,57,-,57,51,40,-
Slovakia,533,-,533,550,597,0.30%
Slovenia,240,-,240,-,257,-
Solomon Islands,1,-,1,-,2,-
Somalia,1,-,1,-,1,-
South Africa,1361,150,1511,1927,1098,0.50%
Spain,4832,2300,7132,13874,13673,2.40%
Sri Lanka,16,-,16,-,18,-
Suriname,5,-,5,-,8,-
Sweden,85,-,85,80,47,0.10%
Switzerland,1376,-,1376,1122,842,0.60%
Tanzania,14,-,14,-,16,-
Thailand,1600,5,1605,2423,1564,0.60%
Togo,1,-,1,-,1,-
Tokelau,1,-,1,-,1,-
Tonga,4,-,4,-,5,-
Trinidad Tobago,3,-,3,-,,-
Tunisia,15,-,15,-,22,-
Turkey,249,-,249,250,17,0.10%
Tuvalu,1,-,1,-,-,-
Uganda,20,-,20,-,31,-
Ukraine,432,-,432,402,483,-
United Arab Emirates,33,100,133,327,300,-
United Kingdom,9077,-,9077,7556,4050,3.90%
United States of America (USA),25540,1777,27317,39000,24603,11.10%
US Virgin Islands,4,-,4,-,-,-
Uruguay,68,-,68,-,3,-
Venezuela,3,-,3,-,5,-
Zambia,2,-,2,-,3,-
Zimbabwe,4,-,4,-,,-
